File id,Answer,result,None,Right,Left,   ,Epoch,Batchsize,Image Size,Learning rate,test acc
L_107_extract_8 6 10 33.jpg,L,L,0.04,0.01,99.95,,60,32,150,0.0001,96.857
L_107_extract_8 6 13 15.jpg,L,L,27.4,0.13,72.47,,60,32,150,0.0001,96.857
L_107_extract_8 6 9 15.jpg,L,L,0.0,0.58,99.42,,60,32,150,0.0001,96.857
L_107_extract_8 6 9 59.jpg,L,L,0.0,0.12,99.88,,60,32,150,0.0001,96.857
L_108_extract_8 6 10 33.jpg,L,L,0.12,0.01,99.87,,60,32,150,0.0001,96.857
L_108_extract_8 6 13 15.jpg,L,N,81.01,0.14,18.85,,60,32,150,0.0001,96.857
L_108_extract_8 6 9 15.jpg,L,L,0.0,0.56,99.44,,60,32,150,0.0001,96.857
L_108_extract_8 6 9 59.jpg,L,L,0.01,0.13,99.86,,60,32,150,0.0001,96.857
L_109_extract_8 6 10 33.jpg,L,L,0.18,0.01,99.81,,60,32,150,0.0001,96.857
L_109_extract_8 6 13 15.jpg,L,N,68.33,0.78,30.89,,60,32,150,0.0001,96.857
L_109_extract_8 6 9 15.jpg,L,L,0.0,0.08,99.92,,60,32,150,0.0001,96.857
L_109_extract_8 6 9 59.jpg,L,L,0.01,0.21,99.78,,60,32,150,0.0001,96.857
L_10_extract_8 6 10 33.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_10_extract_8 6 9 47.jpg,L,L,0.0,0.04,99.96,,60,32,150,0.0001,96.857
L_10_extract_8 6 9 59.jpg,L,L,0.0,0.21,99.79,,60,32,150,0.0001,96.857
L_110_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_110_extract_8 6 13 15.jpg,L,L,1.01,0.55,98.44,,60,32,150,0.0001,96.857
L_110_extract_8 6 9 15.jpg,L,L,0.0,0.64,99.36,,60,32,150,0.0001,96.857
L_110_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_111_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_111_extract_8 6 13 15.jpg,L,L,2.97,0.22,96.81,,60,32,150,0.0001,96.857
L_111_extract_8 6 9 15.jpg,L,L,0.0,2.25,97.75,,60,32,150,0.0001,96.857
L_111_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_112_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_112_extract_8 6 13 15.jpg,L,L,0.75,2.93,96.32,,60,32,150,0.0001,96.857
L_112_extract_8 6 9 15.jpg,L,L,0.0,0.37,99.63,,60,32,150,0.0001,96.857
L_112_extract_8 6 9 59.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_113_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_113_extract_8 6 13 15.jpg,L,L,2.32,2.06,95.62,,60,32,150,0.0001,96.857
L_113_extract_8 6 9 15.jpg,L,L,0.0,0.16,99.84,,60,32,150,0.0001,96.857
L_113_extract_8 6 9 59.jpg,L,L,0.0,0.12,99.88,,60,32,150,0.0001,96.857
L_114_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_114_extract_8 6 13 15.jpg,L,L,0.64,5.08,94.28,,60,32,150,0.0001,96.857
L_114_extract_8 6 9 15.jpg,L,L,0.0,0.19,99.81,,60,32,150,0.0001,96.857
L_114_extract_8 6 9 59.jpg,L,L,0.0,0.2,99.8,,60,32,150,0.0001,96.857
L_115_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_115_extract_8 6 13 15.jpg,L,L,0.58,6.49,92.94,,60,32,150,0.0001,96.857
L_115_extract_8 6 9 15.jpg,L,L,0.0,0.56,99.44,,60,32,150,0.0001,96.857
L_115_extract_8 6 9 59.jpg,L,L,0.0,0.03,99.97,,60,32,150,0.0001,96.857
L_116_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_116_extract_8 6 13 15.jpg,L,L,0.29,4.54,95.17,,60,32,150,0.0001,96.857
L_116_extract_8 6 9 15.jpg,L,L,0.0,1.6,98.39,,60,32,150,0.0001,96.857
L_116_extract_8 6 9 59.jpg,L,L,0.0,0.12,99.88,,60,32,150,0.0001,96.857
L_117_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_117_extract_8 6 13 15.jpg,L,L,0.21,2.0,97.8,,60,32,150,0.0001,96.857
L_117_extract_8 6 9 15.jpg,L,L,0.0,1.49,98.51,,60,32,150,0.0001,96.857
L_117_extract_8 6 9 59.jpg,L,L,0.0,1.08,98.92,,60,32,150,0.0001,96.857
L_118_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_118_extract_8 6 13 15.jpg,L,L,2.05,4.33,93.62,,60,32,150,0.0001,96.857
L_118_extract_8 6 9 15.jpg,L,L,0.0,1.96,98.03,,60,32,150,0.0001,96.857
L_118_extract_8 6 9 59.jpg,L,L,0.0,1.91,98.09,,60,32,150,0.0001,96.857
L_119_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_119_extract_8 6 13 15.jpg,L,L,0.19,2.87,96.94,,60,32,150,0.0001,96.857
L_119_extract_8 6 9 15.jpg,L,L,0.0,0.42,99.58,,60,32,150,0.0001,96.857
L_119_extract_8 6 9 59.jpg,L,L,0.0,2.06,97.94,,60,32,150,0.0001,96.857
L_11_extract_8 6 10 33.jpg,L,L,0.0,0.04,99.96,,60,32,150,0.0001,96.857
L_11_extract_8 6 9 47.jpg,L,L,0.0,0.03,99.97,,60,32,150,0.0001,96.857
L_11_extract_8 6 9 59.jpg,L,L,0.0,0.35,99.65,,60,32,150,0.0001,96.857
L_120_extract_8 6 10 33.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_120_extract_8 6 13 15.jpg,L,L,0.34,2.9,96.76,,60,32,150,0.0001,96.857
L_120_extract_8 6 9 15.jpg,L,L,0.0,0.22,99.78,,60,32,150,0.0001,96.857
L_120_extract_8 6 9 59.jpg,L,L,0.0,1.53,98.47,,60,32,150,0.0001,96.857
L_121_extract_8 6 10 33.jpg,L,L,0.0,0.09,99.91,,60,32,150,0.0001,96.857
L_121_extract_8 6 13 15.jpg,L,L,39.23,2.18,58.59,,60,32,150,0.0001,96.857
L_121_extract_8 6 9 15.jpg,L,L,0.0,0.15,99.85,,60,32,150,0.0001,96.857
L_121_extract_8 6 9 59.jpg,L,L,0.0,4.5,95.5,,60,32,150,0.0001,96.857
L_122_extract_8 6 10 33.jpg,L,L,0.0,0.02,99.97,,60,32,150,0.0001,96.857
L_122_extract_8 6 13 15.jpg,L,N,70.89,0.63,28.48,,60,32,150,0.0001,96.857
L_122_extract_8 6 9 59.jpg,L,L,0.0,1.97,98.03,,60,32,150,0.0001,96.857
L_123_extract_8 6 10 33.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_123_extract_8 6 13 15.jpg,L,L,30.11,0.72,69.18,,60,32,150,0.0001,96.857
L_123_extract_8 6 9 59.jpg,L,L,0.0,0.31,99.69,,60,32,150,0.0001,96.857
L_124_extract_8 6 10 33.jpg,L,L,0.0,0.05,99.95,,60,32,150,0.0001,96.857
L_124_extract_8 6 13 15.jpg,L,N,68.19,0.45,31.36,,60,32,150,0.0001,96.857
L_124_extract_8 6 9 59.jpg,L,L,0.0,0.49,99.51,,60,32,150,0.0001,96.857
L_125_extract_8 6 10 33.jpg,L,L,0.0,0.04,99.96,,60,32,150,0.0001,96.857
L_125_extract_8 6 13 15.jpg,L,L,1.15,0.47,98.38,,60,32,150,0.0001,96.857
L_125_extract_8 6 9 59.jpg,L,L,0.0,0.61,99.39,,60,32,150,0.0001,96.857
L_126_extract_8 6 10 33.jpg,L,L,0.0,0.4,99.6,,60,32,150,0.0001,96.857
L_126_extract_8 6 13 15.jpg,L,L,7.14,7.99,84.87,,60,32,150,0.0001,96.857
L_126_extract_8 6 9 59.jpg,L,L,0.0,3.29,96.71,,60,32,150,0.0001,96.857
L_127_extract_8 6 10 33.jpg,L,L,0.0,0.13,99.86,,60,32,150,0.0001,96.857
L_127_extract_8 6 13 15.jpg,L,L,0.64,7.77,91.59,,60,32,150,0.0001,96.857
L_127_extract_8 6 9 59.jpg,L,L,0.0,0.95,99.04,,60,32,150,0.0001,96.857
L_128_extract_8 6 10 33.jpg,L,L,0.0,0.11,99.89,,60,32,150,0.0001,96.857
L_128_extract_8 6 13 15.jpg,L,L,1.06,2.96,95.97,,60,32,150,0.0001,96.857
L_128_extract_8 6 9 59.jpg,L,L,0.0,0.19,99.81,,60,32,150,0.0001,96.857
L_129_extract_8 6 10 33.jpg,L,L,0.0,0.03,99.97,,60,32,150,0.0001,96.857
L_129_extract_8 6 13 15.jpg,L,L,1.69,3.38,94.94,,60,32,150,0.0001,96.857
L_129_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_12_extract_8 6 10 33.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_12_extract_8 6 9 47.jpg,L,L,0.0,0.28,99.72,,60,32,150,0.0001,96.857
L_12_extract_8 6 9 59.jpg,L,L,0.0,0.29,99.71,,60,32,150,0.0001,96.857
L_130_extract_8 6 10 33.jpg,L,L,0.0,0.07,99.93,,60,32,150,0.0001,96.857
L_130_extract_8 6 13 15.jpg,L,L,1.01,3.23,95.77,,60,32,150,0.0001,96.857
L_130_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_131_extract_8 6 10 33.jpg,L,L,0.0,0.25,99.75,,60,32,150,0.0001,96.857
L_131_extract_8 6 13 15.jpg,L,L,1.3,4.09,94.61,,60,32,150,0.0001,96.857
L_131_extract_8 6 9 59.jpg,L,L,0.0,1.33,98.67,,60,32,150,0.0001,96.857
L_132_extract_8 6 10 33.jpg,L,L,0.0,0.15,99.85,,60,32,150,0.0001,96.857
L_132_extract_8 6 13 15.jpg,L,L,1.46,4.14,94.4,,60,32,150,0.0001,96.857
L_132_extract_8 6 9 59.jpg,L,L,0.01,11.13,88.86,,60,32,150,0.0001,96.857
L_133_extract_8 6 10 33.jpg,L,L,0.0,0.06,99.93,,60,32,150,0.0001,96.857
L_133_extract_8 6 13 15.jpg,L,L,1.95,1.91,96.14,,60,32,150,0.0001,96.857
L_133_extract_8 6 9 59.jpg,L,L,0.0,10.06,89.94,,60,32,150,0.0001,96.857
L_134_extract_8 6 10 33.jpg,L,L,0.01,0.04,99.95,,60,32,150,0.0001,96.857
L_134_extract_8 6 13 15.jpg,L,L,3.29,2.14,94.57,,60,32,150,0.0001,96.857
L_134_extract_8 6 9 59.jpg,L,L,0.0,0.32,99.68,,60,32,150,0.0001,96.857
L_135_extract_8 6 10 33.jpg,L,L,0.0,0.12,99.87,,60,32,150,0.0001,96.857
L_135_extract_8 6 13 15.jpg,L,L,6.04,1.92,92.05,,60,32,150,0.0001,96.857
L_135_extract_8 6 9 59.jpg,L,L,0.0,1.34,98.66,,60,32,150,0.0001,96.857
L_136_extract_8 6 10 33.jpg,L,L,0.0,0.06,99.94,,60,32,150,0.0001,96.857
L_136_extract_8 6 13 15.jpg,L,L,7.25,2.26,90.49,,60,32,150,0.0001,96.857
L_136_extract_8 6 9 59.jpg,L,L,0.0,0.43,99.57,,60,32,150,0.0001,96.857
L_137_extract_8 6 10 33.jpg,L,L,0.0,0.04,99.96,,60,32,150,0.0001,96.857
L_137_extract_8 6 13 15.jpg,L,L,2.3,3.67,94.03,,60,32,150,0.0001,96.857
L_137_extract_8 6 9 15.jpg,L,L,0.0,1.01,98.98,,60,32,150,0.0001,96.857
L_137_extract_8 6 9 59.jpg,L,L,0.0,7.44,92.56,,60,32,150,0.0001,96.857
L_138_extract_8 6 10 33.jpg,L,L,0.01,0.73,99.26,,60,32,150,0.0001,96.857
L_138_extract_8 6 13 15.jpg,L,L,4.2,1.26,94.54,,60,32,150,0.0001,96.857
L_138_extract_8 6 9 15.jpg,L,L,0.0,1.1,98.9,,60,32,150,0.0001,96.857
L_138_extract_8 6 9 59.jpg,L,L,0.0,4.16,95.84,,60,32,150,0.0001,96.857
L_139_extract_8 6 10 33.jpg,L,L,0.01,0.27,99.72,,60,32,150,0.0001,96.857
L_139_extract_8 6 13 15.jpg,L,L,36.17,1.63,62.21,,60,32,150,0.0001,96.857
L_139_extract_8 6 9 15.jpg,L,L,0.0,1.09,98.91,,60,32,150,0.0001,96.857
L_139_extract_8 6 9 59.jpg,L,L,0.0,0.34,99.66,,60,32,150,0.0001,96.857
L_13_extract_8 6 10 33.jpg,L,L,0.03,0.0,99.97,,60,32,150,0.0001,96.857
L_13_extract_8 6 9 47.jpg,L,L,0.0,0.19,99.81,,60,32,150,0.0001,96.857
L_13_extract_8 6 9 59.jpg,L,L,0.0,0.29,99.71,,60,32,150,0.0001,96.857
L_140_extract_8 6 10 33.jpg,L,L,0.0,0.23,99.77,,60,32,150,0.0001,96.857
L_140_extract_8 6 13 15.jpg,L,L,7.91,0.03,92.06,,60,32,150,0.0001,96.857
L_140_extract_8 6 9 15.jpg,L,L,0.0,6.89,93.11,,60,32,150,0.0001,96.857
L_140_extract_8 6 9 59.jpg,L,L,0.0,0.85,99.15,,60,32,150,0.0001,96.857
L_141_extract_8 6 10 33.jpg,L,L,0.0,0.51,99.49,,60,32,150,0.0001,96.857
L_141_extract_8 6 13 15.jpg,L,L,16.52,0.33,83.14,,60,32,150,0.0001,96.857
L_141_extract_8 6 9 15.jpg,L,L,0.01,10.64,89.35,,60,32,150,0.0001,96.857
L_141_extract_8 6 9 59.jpg,L,L,0.0,2.37,97.63,,60,32,150,0.0001,96.857
L_142_extract_8 6 10 33.jpg,L,L,0.0,0.24,99.76,,60,32,150,0.0001,96.857
L_142_extract_8 6 13 15.jpg,L,L,25.73,0.64,73.63,,60,32,150,0.0001,96.857
L_142_extract_8 6 9 15.jpg,L,L,0.0,6.41,93.59,,60,32,150,0.0001,96.857
L_142_extract_8 6 9 59.jpg,L,L,0.0,27.68,72.32,,60,32,150,0.0001,96.857
L_143_extract_8 6 10 33.jpg,L,L,0.0,0.07,99.92,,60,32,150,0.0001,96.857
L_143_extract_8 6 13 15.jpg,L,L,9.72,0.71,89.57,,60,32,150,0.0001,96.857
L_143_extract_8 6 9 15.jpg,L,L,0.01,8.36,91.62,,60,32,150,0.0001,96.857
L_143_extract_8 6 9 47.jpg,L,L,0.0,0.18,99.82,,60,32,150,0.0001,96.857
L_143_extract_8 6 9 59.jpg,L,L,0.02,46.87,53.11,,60,32,150,0.0001,96.857
L_144_extract_8 6 10 33.jpg,L,L,0.0,0.13,99.87,,60,32,150,0.0001,96.857
L_144_extract_8 6 13 15.jpg,L,L,4.76,2.72,92.52,,60,32,150,0.0001,96.857
L_144_extract_8 6 9 15.jpg,L,L,0.01,8.15,91.84,,60,32,150,0.0001,96.857
L_144_extract_8 6 9 47.jpg,L,L,0.0,0.39,99.61,,60,32,150,0.0001,96.857
L_144_extract_8 6 9 59.jpg,L,L,0.01,32.91,67.09,,60,32,150,0.0001,96.857
L_145_extract_8 6 10 33.jpg,L,L,0.01,0.26,99.74,,60,32,150,0.0001,96.857
L_145_extract_8 6 13 15.jpg,L,L,1.44,8.37,90.19,,60,32,150,0.0001,96.857
L_145_extract_8 6 9 15.jpg,L,L,0.01,2.57,97.43,,60,32,150,0.0001,96.857
L_145_extract_8 6 9 47.jpg,L,L,0.0,0.33,99.67,,60,32,150,0.0001,96.857
L_145_extract_8 6 9 59.jpg,L,R,0.01,93.41,6.57,,60,32,150,0.0001,96.857
L_146_extract_8 6 10 33.jpg,L,L,0.0,0.03,99.96,,60,32,150,0.0001,96.857
L_146_extract_8 6 13 15.jpg,L,L,4.23,2.09,93.68,,60,32,150,0.0001,96.857
L_146_extract_8 6 9 15.jpg,L,L,0.02,4.11,95.88,,60,32,150,0.0001,96.857
L_146_extract_8 6 9 47.jpg,L,L,0.0,1.54,98.46,,60,32,150,0.0001,96.857
L_146_extract_8 6 9 59.jpg,L,L,0.19,4.07,95.74,,60,32,150,0.0001,96.857
L_147_extract_8 6 10 33.jpg,L,L,0.0,0.11,99.89,,60,32,150,0.0001,96.857
L_147_extract_8 6 13 15.jpg,L,L,7.4,0.37,92.23,,60,32,150,0.0001,96.857
L_147_extract_8 6 9 15.jpg,L,L,0.01,3.25,96.74,,60,32,150,0.0001,96.857
L_147_extract_8 6 9 47.jpg,L,L,0.0,0.35,99.65,,60,32,150,0.0001,96.857
L_147_extract_8 6 9 59.jpg,L,L,0.0,3.98,96.02,,60,32,150,0.0001,96.857
L_148_extract_8 6 10 33.jpg,L,L,0.0,0.05,99.95,,60,32,150,0.0001,96.857
L_148_extract_8 6 13 15.jpg,L,L,18.21,1.9,79.89,,60,32,150,0.0001,96.857
L_148_extract_8 6 9 15.jpg,L,L,0.01,3.76,96.23,,60,32,150,0.0001,96.857
L_148_extract_8 6 9 47.jpg,L,L,0.0,0.09,99.91,,60,32,150,0.0001,96.857
L_148_extract_8 6 9 59.jpg,L,L,0.0,22.29,77.71,,60,32,150,0.0001,96.857
L_149_extract_8 6 10 33.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_149_extract_8 6 13 15.jpg,L,N,55.15,1.83,43.02,,60,32,150,0.0001,96.857
L_149_extract_8 6 9 15.jpg,L,L,0.01,3.72,96.26,,60,32,150,0.0001,96.857
L_149_extract_8 6 9 47.jpg,L,L,0.0,0.08,99.92,,60,32,150,0.0001,96.857
L_149_extract_8 6 9 59.jpg,L,L,0.0,29.82,70.18,,60,32,150,0.0001,96.857
L_14_extract_8 6 10 33.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_14_extract_8 6 9 47.jpg,L,L,0.0,0.06,99.94,,60,32,150,0.0001,96.857
L_14_extract_8 6 9 59.jpg,L,L,0.0,0.44,99.55,,60,32,150,0.0001,96.857
L_150_extract_8 6 10 33.jpg,L,L,0.0,0.32,99.68,,60,32,150,0.0001,96.857
L_150_extract_8 6 13 15.jpg,L,L,47.72,0.61,51.67,,60,32,150,0.0001,96.857
L_150_extract_8 6 9 15.jpg,L,L,0.01,2.88,97.11,,60,32,150,0.0001,96.857
L_150_extract_8 6 9 47.jpg,L,L,0.0,0.07,99.93,,60,32,150,0.0001,96.857
L_150_extract_8 6 9 59.jpg,L,L,0.0,29.28,70.71,,60,32,150,0.0001,96.857
L_151_extract_8 6 10 33.jpg,L,L,0.0,1.95,98.04,,60,32,150,0.0001,96.857
L_151_extract_8 6 13 15.jpg,L,L,44.31,0.83,54.86,,60,32,150,0.0001,96.857
L_151_extract_8 6 9 15.jpg,L,L,0.0,0.54,99.46,,60,32,150,0.0001,96.857
L_151_extract_8 6 9 47.jpg,L,L,0.0,0.06,99.94,,60,32,150,0.0001,96.857
L_151_extract_8 6 9 59.jpg,L,R,0.03,62.44,37.53,,60,32,150,0.0001,96.857
L_152_extract_8 6 10 33.jpg,L,L,0.0,0.03,99.97,,60,32,150,0.0001,96.857
L_152_extract_8 6 13 15.jpg,L,N,55.95,0.55,43.51,,60,32,150,0.0001,96.857
L_152_extract_8 6 9 15.jpg,L,L,0.0,0.26,99.73,,60,32,150,0.0001,96.857
L_152_extract_8 6 9 47.jpg,L,L,0.0,0.25,99.75,,60,32,150,0.0001,96.857
L_152_extract_8 6 9 59.jpg,L,L,0.0,0.06,99.94,,60,32,150,0.0001,96.857
L_153_extract_8 6 10 33.jpg,L,L,0.01,0.16,99.83,,60,32,150,0.0001,96.857
L_153_extract_8 6 13 15.jpg,L,L,7.72,0.44,91.83,,60,32,150,0.0001,96.857
L_153_extract_8 6 9 15.jpg,L,L,0.01,0.51,99.48,,60,32,150,0.0001,96.857
L_153_extract_8 6 9 47.jpg,L,L,0.0,0.46,99.54,,60,32,150,0.0001,96.857
L_153_extract_8 6 9 59.jpg,L,L,0.0,0.11,99.89,,60,32,150,0.0001,96.857
L_154_extract_8 6 10 33.jpg,L,L,0.01,0.09,99.9,,60,32,150,0.0001,96.857
L_154_extract_8 6 13 15.jpg,L,L,9.54,1.53,88.93,,60,32,150,0.0001,96.857
L_154_extract_8 6 9 15.jpg,L,L,0.02,0.66,99.33,,60,32,150,0.0001,96.857
L_154_extract_8 6 9 47.jpg,L,L,0.0,0.32,99.68,,60,32,150,0.0001,96.857
L_154_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_155_extract_8 6 10 33.jpg,L,L,0.74,0.06,99.19,,60,32,150,0.0001,96.857
L_155_extract_8 6 13 15.jpg,L,L,1.31,0.12,98.57,,60,32,150,0.0001,96.857
L_155_extract_8 6 9 47.jpg,L,L,0.0,0.09,99.91,,60,32,150,0.0001,96.857
L_156_extract_8 6 10 33.jpg,L,L,0.47,0.02,99.5,,60,32,150,0.0001,96.857
L_156_extract_8 6 13 15.jpg,L,L,8.24,1.72,90.04,,60,32,150,0.0001,96.857
L_156_extract_8 6 9 47.jpg,L,L,0.0,0.03,99.97,,60,32,150,0.0001,96.857
L_157_extract_8 6 10 33.jpg,L,L,0.28,0.04,99.69,,60,32,150,0.0001,96.857
L_157_extract_8 6 13 15.jpg,L,N,64.16,0.31,35.53,,60,32,150,0.0001,96.857
L_157_extract_8 6 9 47.jpg,L,L,0.0,0.22,99.78,,60,32,150,0.0001,96.857
L_158_extract_8 6 10 33.jpg,L,L,3.52,0.14,96.34,,60,32,150,0.0001,96.857
L_158_extract_8 6 13 15.jpg,L,L,34.35,0.01,65.64,,60,32,150,0.0001,96.857
L_158_extract_8 6 9 47.jpg,L,L,0.0,0.81,99.19,,60,32,150,0.0001,96.857
L_159_extract_8 6 10 33.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_159_extract_8 6 13 15.jpg,L,L,37.84,0.02,62.15,,60,32,150,0.0001,96.857
L_159_extract_8 6 9 47.jpg,L,L,0.0,0.19,99.81,,60,32,150,0.0001,96.857
L_15_extract_8 6 10 33.jpg,L,L,0.0,0.02,99.97,,60,32,150,0.0001,96.857
L_15_extract_8 6 9 47.jpg,L,L,0.0,0.07,99.93,,60,32,150,0.0001,96.857
L_15_extract_8 6 9 59.jpg,L,L,0.0,0.34,99.66,,60,32,150,0.0001,96.857
L_160_extract_8 6 10 33.jpg,L,L,0.0,0.03,99.97,,60,32,150,0.0001,96.857
L_160_extract_8 6 13 15.jpg,L,L,43.5,0.03,56.47,,60,32,150,0.0001,96.857
L_160_extract_8 6 9 47.jpg,L,L,0.0,0.23,99.77,,60,32,150,0.0001,96.857
L_161_extract_8 6 10 33.jpg,L,L,0.0,0.29,99.71,,60,32,150,0.0001,96.857
L_161_extract_8 6 13 15.jpg,L,L,47.2,0.48,52.32,,60,32,150,0.0001,96.857
L_161_extract_8 6 9 47.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_162_extract_8 6 10 33.jpg,L,L,0.0,0.05,99.95,,60,32,150,0.0001,96.857
L_162_extract_8 6 13 15.jpg,L,L,17.82,1.54,80.64,,60,32,150,0.0001,96.857
L_162_extract_8 6 9 47.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_163_extract_8 6 10 33.jpg,L,L,0.0,0.25,99.74,,60,32,150,0.0001,96.857
L_163_extract_8 6 13 15.jpg,L,L,1.99,0.08,97.93,,60,32,150,0.0001,96.857
L_163_extract_8 6 9 47.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_164_extract_8 6 10 33.jpg,L,L,0.0,0.79,99.2,,60,32,150,0.0001,96.857
L_164_extract_8 6 13 15.jpg,L,L,7.7,0.48,91.83,,60,32,150,0.0001,96.857
L_164_extract_8 6 9 47.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_165_extract_8 6 10 33.jpg,L,L,0.01,0.73,99.26,,60,32,150,0.0001,96.857
L_165_extract_8 6 13 15.jpg,L,L,6.57,0.28,93.15,,60,32,150,0.0001,96.857
L_165_extract_8 6 9 47.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_166_extract_8 6 10 33.jpg,L,L,0.01,0.28,99.71,,60,32,150,0.0001,96.857
L_166_extract_8 6 13 15.jpg,L,L,15.68,0.36,83.95,,60,32,150,0.0001,96.857
L_166_extract_8 6 9 47.jpg,L,L,0.0,0.11,99.89,,60,32,150,0.0001,96.857
L_167_extract_8 6 10 33.jpg,L,L,0.01,0.27,99.72,,60,32,150,0.0001,96.857
L_167_extract_8 6 13 15.jpg,L,L,17.65,0.45,81.91,,60,32,150,0.0001,96.857
L_167_extract_8 6 9 47.jpg,L,L,0.0,0.09,99.91,,60,32,150,0.0001,96.857
L_168_extract_8 6 10 33.jpg,L,L,0.0,0.38,99.62,,60,32,150,0.0001,96.857
L_168_extract_8 6 13 15.jpg,L,L,10.97,0.22,88.81,,60,32,150,0.0001,96.857
